gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YAL064W-B,3.609173518209378,0.2658723309039725,1.571655664958235,0.16916703628656327,0.8656652572981123,0.9305901515954708
YAL063C|FLO9,19.09914057608892,0.8407378681502722,0.7191699849187353,1.1690391503828874,0.24238785812207897,0.40607835971101547
MSTRG.9|GDH3,697.4536969679093,4.202784623761311,0.18337326715427346,22.919287467488235,2.98421551077917e-116,1.9248190044525644e-114
MSTRG.2|BDH2,585.0458848901457,2.9747777627049565,0.2018145717824729,14.740153480648262,3.5597483660190244e-49,9.184150784329084e-48
MSTRG.11|BDH1,1613.2005510509287,-0.002207763327087204,0.12300491002572642,-0.017948578854498177,0.9856798749226925,0.9856798749226925
MSTRG.8|ECM1,362.85122272759986,-0.8608764935504761,0.2086943044098042,-4.125059838049099,3.70638381152594e-05,0.00015937450389561541
MSTRG.3|CNE1,300.56973247771685,-0.606314264350303,0.20542755020626519,-2.9514749299279304,0.003162602185202111,0.010199392047276809
MSTRG.10|GPB2,513.4509519446076,0.8327380241028479,0.16778081651861704,4.963249323622446,6.932349786758416e-07,3.5770924899673423e-06
MSTRG.5|PEX22,52.41509585260799,1.3400689621528892,0.44237681932808365,3.029247699253976,0.0024516358374089336,0.008109257000660319
MSTRG.6|ACS1,7428.354648571849,6.681462601278731,0.12729253633910714,52.48903661939238,0.0,0.0
MSTRG.1|FLC2,1168.3349943913488,0.23793696669069211,0.1400536142052977,1.6988991540190606,0.08933818645044671,0.19930341284985267
MSTRG.12|OAF1,400.80823854669035,-0.009811416995018528,0.18610124115502327,-0.052720857389906214,0.9579543203405873,0.9730402151491004
MSTRG.13|AIM2,663.9402809467052,0.691044615948733,0.19396153599815696,3.5627920370526422,0.0003669313556057875,0.0013524041392327598
MSTRG.15|GEM1,248.63836597472402,0.6258450547993576,0.21782473750923476,2.873158769548957,0.004063898264662171,0.012786411613205368
MSTRG.17|SPC72,185.3006997678936,0.24837965629736,0.2423202516522836,1.0250057706847024,0.3053604648031417,0.47698694548465365
MSTRG.18|BOL3,239.320552622317,0.36345076779673985,0.21797484758963934,1.6673977379306364,0.09543534337918883,0.20518598826525597
MSTRG.19,241.1605122558426,0.8579267294482449,0.22638912220106763,3.789611095741061,0.0001508833207153034,0.0005898166173416405
MSTRG.21|GCV3,1588.893406641865,-0.6224850570207314,0.12910402435599122,-4.821577484713351,1.424273754245911e-06,6.804863492508241e-06
MSTRG.24|PTA1,565.5481719639049,0.09874686055796814,0.1562048737954218,0.6321624809690304,0.5272807109823952,0.7313893732981611
MSTRG.25,1693.152406846494,-0.8354340548633032,0.12220697911712326,-6.836222128219229,8.130883910507186e-12,6.99256016303618e-11
MSTRG.14|CDC24,571.1643097454478,-0.1732975079611484,0.155797979941242,-1.112321918592951,0.2659997630291333,0.434354043427319
MSTRG.22|CLN3,520.7334375650397,-0.5269618423986887,0.16733193590557524,-3.1492006564488153,0.0016371773987762573,0.0057079968768145185
MSTRG.23|CYC3,459.15537786883647,0.09547360642600893,0.17358946057570213,0.5499965614811794,0.5823217320167227,0.7814143709449193
MSTRG.29|CDC19,19895.181612694363,-0.8995688259096797,0.1258437158942061,-7.148301522389298,8.785816374575675e-13,8.095502230859014e-12
MSTRG.30,13.6308726556366,-2.592654996517619,1.0124283106788916,-2.560828227708384,0.010442297173835964,0.029283833378800854
MSTRG.31,3.9274122996576812,-1.8812030123348857,1.6263326070313218,-1.1567148098744695,0.24738889692485477,0.4091431756834137
MSTRG.27,83.38335985930918,-0.1747880908215489,0.35190586266190493,-0.49668990877107755,0.6194077396930231,0.7911247368356434
MSTRG.28|RBG1,697.2762942408572,-0.7862289034040153,0.15064020858333557,-5.219249965184867,1.7964916481364805e-07,1.0075974896069825e-06
MSTRG.32|FUN12,3371.841206751165,-0.6196709978691904,0.11847474305503886,-5.230405923575752,1.6913823350266851e-07,9.917650964474655e-07
MSTRG.33,118.44089231013248,0.5541102230391269,0.8560151676555865,0.647313557021072,0.5174290291344469,0.7255254865037353
MSTRG.34|MTW1,29.735401605787317,-8.152699468997529,5.1468117074051,-1.5840290907218608,0.11318709921979961,0.23763962644981648
MSTRG.35|FUN19,403.5780525892242,1.9070222855712786,0.1928513493413209,9.888560759801095,4.6668891703805235e-23,6.689207810878751e-22
MSTRG.36|POP5,207.28403893527081,-0.929426880078193,0.23968868548661018,-3.8776418594448585,0.0001054738285165993,0.00042519137120754094
MSTRG.37|PRP45,257.711908903894,0.957026304761841,0.21170537210340795,4.520557486346541,6.167699330538886e-06,2.7435628056535043e-05
MSTRG.38,336.90276558105097,0.023583097176804485,0.20371565409438397,0.11576477655407938,0.9078389670131044,0.9444453769733102
MSTRG.40|SNC1,309.1441792736674,0.9283016707551579,0.19822077226045795,4.6831704879819,2.8247137941427586e-06,1.301385998015771e-05
MSTRG.41|MYO4,990.9278414907119,-1.0919145925558609,0.13385720923854522,-8.15730881263163,3.4257171508317375e-16,4.017431931429947e-15
MSTRG.42|FRT2,106.54841897537759,0.8174291506172504,0.31794198912392807,2.5710009328105174,0.01014050538172889,0.029069448760956153
MSTRG.43|SAW1,756.4037870649993,0.19626078502582683,0.14578399453449736,1.3462437056448264,0.1782239341824946,0.3332012682542291
MSTRG.44,246.9676214594627,-1.4623968173675013,0.24840985653495543,-5.887032172419929,3.931921965526394e-09,2.669568071331078e-08
MSTRG.44|DRS2,27.113686908581172,-0.14737227637420533,0.6129829430412592,-0.24041823356948755,0.8100060443246349,0.9102920865349404
