GeneName,SampleID,FPKM,TPM
CYS3,batch1,25331.666016,39000.960938
CYS3,batch2,25768.150391,39602.390625
CYS3,chem1,8451.767578,15065.416016
CYS3,chem2,8417.690430,14798.636719
