transcript_id,batch1,batch2,chem1,chem2
YNL284C-A,3,3,2,0
YNL054W-A,5,2,1,2
YNL054W-B,2,6,5,1
YOL103W-B,27,26,21,24
YOL103W-A,1,0,1,1
YOR142W-A,1,1,1,1
YOR142W-B,2,3,2,1
YPL257W-B,34,36,25,22
YPL257W-A,1,2,1,1
YPR137C-B,83,118,41,36
YPR137C-A,1,1,1,1
YPR158W-A,0,1,1,0
YPR158W-B,1,2,3,3
YPR158C-D,19,19,10,7
YPR158C-C,1,1,1,0
YAL069W_mRNA,0,0,0,0
YAL068W-A_mRNA,0,0,0,0
YAL068C_mRNA,0,0,0,0
YAL067W-A_mRNA,0,0,0,0
YAL067C_mRNA,0,0,0,0
YAL066W_mRNA,0,0,0,0
YAL065C_mRNA,0,0,0,0
YAL064C-A_mRNA,0,0,0,0
YAL064W_mRNA,0,0,0,0
YAL063C-A_mRNA,0,0,0,0
tP(UGG)A_tRNA,0,0,0,0
tA(UGC)A_tRNA,0,0,0,0
tS(AGA)A_tRNA,0,0,0,1
YAR047C_mRNA,0,0,0,0
YAR053W_mRNA,0,0,0,0
YAR070C_mRNA,0,4,3,2
YDL248W_mRNA,0,0,0,0
YDL247W-A_mRNA,0,0,0,0
YDL247W_mRNA,0,0,0,0
YDL246C_mRNA,0,0,0,0
YDL245C_mRNA,0,0,0,0
YDL244W_mRNA,0,0,0,0
YDL243C_mRNA,0,0,0,0
YDL242W_mRNA,0,0,0,0
YDL241W_mRNA,0,0,0,0
YDL240C-A_mRNA,0,0,0,0
YDL240W_mRNA,0,0,0,0
YDL239C_mRNA,0,0,0,0
YDL238C_mRNA,0,0,0,0
YDL237W_mRNA,0,0,0,0
YDL236W_mRNA,0,0,0,0
YDL235C_mRNA,0,0,0,0
YDL234C_mRNA,0,0,0,0
YDL233W_mRNA,0,0,0,0
YDL232W_mRNA,0,0,0,0
YDL231C_mRNA,0,0,0,0
YDL230W_mRNA,0,0,0,0
YDL229W_mRNA,0,0,0,0
YDL228C_mRNA,0,0,0,0
YDL227C_mRNA,0,0,0,0
YDL226C_mRNA,0,0,0,0
YDL225W_mRNA,0,0,0,0
YDL224C_mRNA,0,0,0,0
YDL223C_mRNA,0,0,0,0
YDL222C_mRNA,0,0,0,0
YDL221W_mRNA,0,0,0,0
YDL220C_mRNA,0,0,0,0
YDL219W_mRNA,0,0,0,0
YDL218W_mRNA,0,0,0,0
YDL217C_mRNA,0,0,0,0
YDL216C_mRNA,0,0,0,0
YDL215C_mRNA,0,0,0,0
YDL214C_mRNA,0,0,0,0
YDL213C_mRNA,0,0,0,0
YDL212W_mRNA,0,0,0,0
YDL211C_mRNA,0,0,0,0
tG(GCC)D1_tRNA,0,0,0,0
YDL210W_mRNA,0,0,0,0
YDL209C_mRNA,0,0,0,0
YDL208W_mRNA,0,0,0,0
YDL207W_mRNA,0,0,0,0
YDL206W_mRNA,0,0,0,0
YDL205C_mRNA,0,0,0,0
YDL204W_mRNA,0,0,0,0
YDL203C_mRNA,0,0,0,0
YDL202W_mRNA,0,0,0,0
YDL201W_mRNA,0,0,0,0
YDL200C_mRNA,0,0,0,0
YDL199C_mRNA,0,0,0,0
YDL198C_mRNA,0,0,0,0
YDL197C_mRNA,0,0,0,0
YDL196W_mRNA,0,0,0,0
YDL195W_mRNA,0,0,0,0
YDL194W_mRNA,0,0,0,0
YDL193W_mRNA,0,0,0,0
YDL192W_mRNA,0,0,0,0
YDL191W_mRNA,0,0,0,0
YDL190C_mRNA,0,0,0,0
YDL189W_mRNA,0,0,0,0
YDL188C_mRNA,0,0,0,0
YDL187C_mRNA,0,0,0,0
YDL186W_mRNA,0,0,0,0
YDL185C-A_mRNA,0,0,0,0
YDL185W_mRNA,0,0,0,0
YDL184C_mRNA,0,0,0,0
YDL183C_mRNA,0,0,0,0
YDL182W_mRNA,0,0,0,0
YDL181W_mRNA,0,0,0,0
YDL180W_mRNA,0,0,0,0
YDL179W_mRNA,0,0,0,0
YDL178W_mRNA,0,0,0,0
YDL177C_mRNA,0,0,0,0
YDL176W_mRNA,0,0,0,0
YDL175C_mRNA,0,0,0,0
YDL174C_mRNA,0,0,0,0
YDL173W_mRNA,0,0,0,0
YDL172C_mRNA,0,0,0,0
YDL171C_mRNA,0,0,0,0
YDL170W_mRNA,0,0,0,0
YDL169C_mRNA,0,0,0,0
YDL168W_mRNA,0,0,0,0
YDL167C_mRNA,0,0,0,0
YDL166C_mRNA,0,0,0,0
YDL165W_mRNA,0,0,0,0
YDL164C_mRNA,0,0,0,0
YDL163W_mRNA,0,0,0,0
YDL162C_mRNA,0,0,0,0
YDL161W_mRNA,0,0,0,0
YDL160C-A_mRNA,0,0,0,0
YDL160C_mRNA,0,0,0,0
YDL159W-A_mRNA,0,0,0,0
YDL159W_mRNA,0,0,0,0
YDL159C-B_mRNA,0,0,0,0
YDL158C_mRNA,0,0,0,0
YDL157C_mRNA,0,0,0,0
YDL156W_mRNA,0,0,0,0
YDL155W_mRNA,0,0,0,0
YDL154W_mRNA,0,0,0,0
YDL153C_mRNA,0,0,0,0
YDL152W_mRNA,0,0,0,0
YDL151C_mRNA,0,0,0,0
YDL150W_mRNA,0,0,0,0
YDL149W_mRNA,0,0,0,0
YDL148C_mRNA,0,0,0,0
YDL147W_mRNA,0,0,0,0
YDL146W_mRNA,0,0,0,0
YDL145C_mRNA,0,0,0,0
YDL144C_mRNA,0,0,0,0
YDL143W_mRNA,0,0,0,0
YDL142C_mRNA,0,0,0,0
YDL141W_mRNA,0,0,0,0
YDL140C_mRNA,0,0,0,0
YDL139C_mRNA,0,0,0,0
YDL138W_mRNA,0,0,0,0
YDL137W_mRNA,0,0,0,0
YDL136W_mRNA,0,0,0,0
YDL135C_mRNA,0,0,0,0
YDL134C_mRNA,0,0,0,0
YDL133C-A_mRNA,0,0,0,0
YDL133W_mRNA,0,0,0,0
YDL132W_mRNA,0,0,0,0
YDL131W_mRNA,0,0,0,0
YDL130W-A_mRNA,0,0,0,0
YDL130W_mRNA,0,0,0,0
YDL129W_mRNA,0,0,0,0
YDL128W_mRNA,0,0,0,0
YDL127W_mRNA,0,0,0,0
YDL126C_mRNA,0,0,0,0
YDL125C_mRNA,0,0,0,0
YDL124W_mRNA,0,0,0,0
YDL123W_mRNA,0,0,0,0
YDL122W_mRNA,0,0,0,0
YDL121C_mRNA,0,0,0,0
YDL120W_mRNA,0,0,0,0
YDL119C_mRNA,0,0,0,0
YDL118W_mRNA,0,0,0,0
YDL117W_mRNA,0,0,0,0
YDL116W_mRNA,0,0,0,0
YDL115C_mRNA,0,0,0,0
YDL114W-A_mRNA,0,0,0,0
YDL114W_mRNA,0,0,0,0
YDL113C_mRNA,0,0,0,0
YDL112W_mRNA,0,0,0,0
YDL111C_mRNA,0,0,0,0
YDL110C_mRNA,0,0,0,0
YDL109C_mRNA,0,0,0,0
YDL108W_mRNA,0,0,0,0
YDL107W_mRNA,0,0,0,0
YDL106C_mRNA,0,0,0,0
YDL105W_mRNA,0,0,0,0
YDL104C_mRNA,0,0,0,0
YDL103C_mRNA,0,0,0,0
YDL102W_mRNA,0,0,0,0
YDL101C_mRNA,0,0,0,0
YDL100C_mRNA,0,0,0,0
YDL099W_mRNA,0,0,0,0
YDL098C_mRNA,0,0,0,0
YDL097C_mRNA,0,0,0,0
YDL096C_mRNA,0,0,0,0
YDL095W_mRNA,0,0,0,0
YDL094C_mRNA,0,0,0,0
YDL093W_mRNA,0,0,0,0
YDL092W_mRNA,0,0,0,0
YDL091C_mRNA,0,0,0,0
YDL090C_mRNA,0,0,0,0
YDL089W_mRNA,0,0,0,0
YDL088C_mRNA,0,0,0,0
YDL087C_mRNA,0,0,0,0
YDL086W_mRNA,0,0,0,0
YDL086C-A_mRNA,0,0,0,0
YDL085C-A_mRNA,0,0,0,0
YDL085W_mRNA,0,0,0,0
YDL084W_mRNA,0,0,0,0
YDL083C_mRNA,0,0,0,0
YDL082W_mRNA,0,0,0,0
YDL081C_mRNA,0,0,0,0
YDL080C_mRNA,0,0,0,0
YDL079C_mRNA,0,0,0,0
YDL078C_mRNA,0,0,0,0
YDL077C_mRNA,0,0,0,0
YDL076C_mRNA,0,0,0,0
YDL075W_mRNA,0,0,0,0
snR63_snoRNA,0,0,0,0
YDL074C_mRNA,0,0,0,0
YDL073W_mRNA,0,0,0,0
YDL072C_mRNA,0,0,0,0
YDL071C_mRNA,0,0,0,0
YDL070W_mRNA,0,0,0,0
YDL069C_mRNA,0,0,0,0
YDL068W_mRNA,0,0,0,0
YDL067C_mRNA,0,0,0,0
YDL066W_mRNA,0,0,0,0
YDL065C_mRNA,0,0,0,0
YDL064W_mRNA,0,0,0,0
YDL063C_mRNA,0,0,0,0
YDL062W_mRNA,0,0,0,0
YDL061C_mRNA,0,0,0,0
YDL060W_mRNA,0,0,0,0
YDL059C_mRNA,0,0,0,0
YDL058W_mRNA,0,0,0,0
YDL057W_mRNA,0,0,0,0
YDL056W_mRNA,0,0,0,0
YDL055C_mRNA,0,0,0,0
tK(UUU)D_tRNA,0,0,0,0
YDL054C_mRNA,0,0,0,0
YDL053C_mRNA,0,0,0,0
YDL052C_mRNA,0,0,0,0
YDL051W_mRNA,0,0,0,0
YDL050C_mRNA,0,0,0,0
YDL049C_mRNA,0,0,0,0
YDL048C_mRNA,0,0,0,0
YDL047W_mRNA,0,0,0,0
YDL046W_mRNA,0,0,0,0
YDL045W-A_mRNA,0,0,0,0
YDL045C_mRNA,0,0,0,0
YDL044C_mRNA,0,0,0,0
YDL043C_mRNA,0,0,0,0
YDL042C_mRNA,0,0,0,0
YDL041W_mRNA,0,0,0,0
YDL040C_mRNA,0,0,0,0
YDL039C_mRNA,0,0,0,0
YDL037C_mRNA,0,0,0,0
YDL036C_mRNA,0,0,0,0
YDL035C_mRNA,0,0,0,0
YDL034W_mRNA,0,0,0,0
YDL033C_mRNA,0,0,0,0
YDL032W_mRNA,0,0,0,0
YDL031W_mRNA,0,0,0,0
YDL030W_mRNA,0,0,0,0
YDL029W_mRNA,0,0,0,0
YDL028C_mRNA,0,0,0,0
YDL027C_mRNA,0,0,0,0
YDL026W_mRNA,0,0,0,0
YDL025C_mRNA,0,0,0,0
YDL025W-A_mRNA,0,0,0,0
YDL024C_mRNA,0,0,0,0
YDL022C-A_mRNA,0,0,0,0
tA(AGC)D_tRNA,0,0,0,0
YDL023C_mRNA,0,0,0,0
YDL022W_mRNA,0,0,0,0
YDL021W_mRNA,0,0,0,0
YDL020C_mRNA,0,0,0,0
